Mois;Consommation mensuelle brute (MWh);Consommation mensuelle corrigée (MWh);Consommation des clients directs RTE (MWh)
2024-05;31962015.0423009;31264202.5;5451871.800504
2024-04;35040287.0407;34709901.0;5374212.664298
2024-02;39978358.159919;43674185.0;4769110.291732
2024-01;48698731.2339711;49793556.5;5159219.752289
2024-08;31074291.508908;30438336.5;5313184.738998
2024-06;30607648.8678251;30384834.5;5402511.349172
2024-03;39611683.0291029;41703696.5;5253229.631628
2024-07;32467561.8651711;32336018.5;5691445.02451
2024-11;39331101.9788321;40379735.5;5224393.858348
2024-10;34292661.611312;35291488.5;5543530.776673
2024-09;31146243.188075;30644491.5;5400350.13174601
2023-07;32060659.32;31977568.0;5491107.073
2023-06;30689549.99;30082146.5;5198858.569
2023-02;41755687.8;42217525.0;4643873.239
2023-11;39442292.84;41117984.0;5157356.208
2023-04;35160597.85;34154575.0;5100406.995
2023-10;33082219.3;34578847.0;5468625.322
2023-09;31005746.67;30357621.0;5372911.335
2023-08;30702810.45;30376929.5;5171308.203
2023-01;46901796.45;49575457.5;4829576.071
2023-05;31514947.54;31190281.5;5459070.908
2023-12;44380701.52;48027349.5;4887780.887
2023-03;40734990.03;42067728.0;4825344.081
2022-10;32308800.0;34333018.0;5187935.0
2022-09;31675825.0;31107700.0;5299669.0
2022-02;43195660.0;45360605.0;5228715.0
2020-05;30575936.0;30261686.0;4854938.0
2020-04;30596476.0;32585964.0;4217413.0
2020-03;41381751.0;42663640.0;4980723.0
2019-09;32122317.0;32092161.0;5734339.0
2018-11;43653709.0;43664696.0;6107618.0
2017-09;33563769.0;33204540.0;6108942.0
2017-07;33806080.0;33779885.0;6210946.0
2015-06;33092919.0;33021244.0;5957848.0
2015-02;48508866.0;45760472.0;5515417.0
2015-01;52326762.0;52953454.0;5895414.0
2014-06;32391286.0;32249444.0;5783422.0
2022-12;46076630.0;46709167.0;4634767.0
2022-08;31765855.0;30996042.0;5239113.0
2022-05;32813786.0;32881384.0;5715812.0
2022-03;42936064.0;45022587.0;5735312.0
2021-10;36813333.0;36549759.0;5733329.0
2020-10;38311441.0;37294233.0;5640209.0
2020-06;30722382.0;30527291.0;5052284.0
